source,url,title,fetched_at,brand,mpn,attrs,condition,is_kit,kit_module_count,unit_price_usd,kit_price_usd,quantity_available,seller_name,seller_rating_pct,seller_feedback_count,ship_from_country,qvl_status,flags,total_for_target_usd
serper_shopping,"https://www.google.com/search?ibp=oshop&q=AFUL+Cantor+IEM&prds=localAnnotatedOfferId:1,productid:14265688390793528715,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",AFUL Cantor Flagship 14 Balanced Armature Drivers IEMs Marine Echo 3.5mm plug,2026-09-17T06:01:10.793336+00:00,,,"{""serper_product_id"": ""14265688390793528715""}",,0,1,799.0,,,The HiFi Cat,,,,,[],
serper_shopping,"https://www.google.com/search?ibp=oshop&q=AFUL+Cantor+IEM&prds=localAnnotatedOfferId:1,productid:8294585086411634360,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",Aful Cantor 14 Ba Wired In-ear Monitors With Detachable 2-pin Cable,2026-09-17T06:01:10.793364+00:00,,,"{""serper_product_id"": ""8294585086411634360""}",,0,1,869.99,,,eBay,,,,,[],
serper_shopping,"https://www.google.com/search?ibp=oshop&q=AFUL+Cantor+IEM&prds=localAnnotatedOfferId:1,productid:16163796602766013692,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",Aful Cantor Flagship Blue,2026-09-17T06:01:10.793375+00:00,,,"{""serper_product_id"": ""16163796602766013692""}",,0,1,849.0,,,eBay - turbotradejp,,,,,[],
serper_shopping,"https://www.google.com/search?ibp=oshop&q=AFUL+Cantor+IEM&prds=localAnnotatedOfferId:1,productid:9826476463441896448,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",Aful Cantor Hifi Earbud 14 Balanced Armature Drivers Resin Shell,2026-09-17T06:01:10.793540+00:00,,,"{""serper_product_id"": ""9826476463441896448""}",,0,1,859.99,,,eBay - yny_audio,,,,,[],
serper_shopping,"https://www.google.com/search?ibp=oshop&q=AFUL+Cantor+flagship&prds=localAnnotatedOfferId:1,productid:7791684176105460560,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",Aful Cantor 14 Ba Wired In-ear Monitors With Detachable 2-pin Cable,2026-09-17T06:01:10.793594+00:00,,,"{""serper_product_id"": ""7791684176105460560""}",,0,1,869.99,,,eBay,,,,,[],
ebay_search,https://www.ebay.com/itm/398186990548?_skw=AFUL+Cantor+IEM&hash=item5cb5cb4bd4:g:eLYAAeSw6FJqWwgg,AFUL Cantor Wired In-Ear Monitors Earphones Hybrid IEM HiFi Audiophile Japan,2026-09-17T06:01:11.522750+00:00,,,{},used,0,1,755.0,,,akiba_brick,99.8,763,JP,,"[""ship_from_jp""]",
ebay_search,https://www.ebay.com/itm/398367690806?_skw=AFUL+Cantor+IEM&hash=item5cc0909036:g:v34AAeSw7BNqnig-,AFUL Cantor Starry Night 14BA Driver In-Ear Earphones IEM w/ Box Used Japan,2026-09-17T06:01:11.522770+00:00,,,{},used,0,1,820.0,,,akiba_brick,99.8,763,JP,,"[""ship_from_jp""]",
ebay_search,https://www.ebay.com/itm/167222554612?_skw=AFUL+Cantor+IEM&hash=item26ef3daff4:g:YOAAAOSww8Fnc-Au,AFUL Cantor Flagship 14 Balanced Armature Drivers IEMs,2026-09-17T06:01:11.522778+00:00,,,{},new,0,1,859.99,,,annie-audio,99.5,1825,CN,,"[""ship_from_cn""]",
ebay_search,https://www.ebay.com/itm/318847684150?_skw=AFUL+Cantor+14BA&hash=item4a3ccd8e36:g:YOAAAOSww8Fnc-Au&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZRO%2FFGBWN3tNwgT%2FNqmi1g%2BbEdkTsJdm85R4oTWHjhzPphSp4kBs8oOBzh%2BQA9CTeQ%2BVY3r3xUCEwmJsOsgs00Oq7zH4Op%2BlokhAdoLmm3uNafvG60iyAX4VOk6GScAB1ltD3zsPrTn0W9vHNUCw11i1s4VaygF4%2FxMufNzmm3J1C4VrGrVGkwsqLeKTaNuGW67YBatmETz%2Be%2FsCzg00FQRI7dgEADTBuR362Go4d9s5GcyTmWN2WpcZYzPY6ROwTfDDRHjKFyQLNDbu9XlkHGXPK8AK6LX0AVdDspL9X7xQ%3D%3D,AFUL Cantor 14 BA Wired In-Ear Monitors with Detachable 2-Pin Cable,2026-09-17T06:01:11.980024+00:00,,,{},new,0,1,869.99,,,ellieaudio,0.0,,CN,,"[""ship_from_cn""]",
ebay_search,https://www.ebay.com/itm/237013595436?_skw=AFUL+Cantor+flagship&hash=item372f1c752c:g:s3YAAeSwq2JqhBup,AFUL Cantor Flagship Starry Night,2026-09-17T06:01:12.422777+00:00,,,{},used,0,1,949.0,,,turbotradejp,99.6,1317,JP,,"[""ship_from_jp""]",
