source,url,title,fetched_at,brand,mpn,attrs,condition,is_kit,kit_module_count,unit_price_usd,kit_price_usd,quantity_available,seller_name,seller_rating_pct,seller_feedback_count,ship_from_country,qvl_status,flags,total_for_target_usd
serper_shopping,"https://www.google.com/search?ibp=oshop&q=SK+Hynix+HMCG84AGBRA191N+32GB+DDR5-5600+ECC+RDIMM&prds=localAnnotatedOfferId:1,productid:1327961869484985875,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",Hynix HMCG84AGBRA191N 32GB PC5-44800 DDR5-5600MT/s 1Rx4 ECC Memory Brand New,2026-09-05T14:00:55.209258+00:00,,,"{""serper_product_id"": ""1327961869484985875""}",,0,1,2588.75,,,ServerSupply.com,,,,,[],
serper_shopping,"https://www.google.com/search?ibp=oshop&q=SK+Hynix+HMCG84AGBRA191N+32GB+DDR5-5600+ECC+RDIMM&prds=localAnnotatedOfferId:1,productid:8368527891881230136,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",Hynix HMCG84AGBRA191N 32GB PC5-44800 DDR5-5600MHz 1Rx4 ECC Memory,2026-09-05T14:00:55.209269+00:00,,,"{""serper_product_id"": ""8368527891881230136""}",,0,1,1562.4,,,ServerOrbit.com,,,,,[],
serper_shopping,"https://www.google.com/search?ibp=oshop&q=SK+Hynix+HMCG84AGBRA191N+32GB+DDR5-5600+ECC+RDIMM&prds=localAnnotatedOfferId:1,productid:12291058907380506325,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",HMCG84AGBRA191N,2026-09-05T14:00:55.209295+00:00,,,"{""serper_product_id"": ""12291058907380506325""}",,0,1,1798.0,,,Server Evolution,,,,,[],
serper_shopping,"https://www.google.com/search?ibp=oshop&q=Micron+MTC20F1045S1RC56BD1+32GB+DDR5-5600+ECC&prds=localAnnotatedOfferId:1,catalogid:6595933165496290120,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2",Micron - MTC20F1045S1RC56BD1 Memory Upgrade,2026-09-05T14:00:55.209493+00:00,,,"{""serper_product_id"": ""6595933165496290120""}",,0,1,1390.99,,,nemixram.com,,,,,[],
serper_shopping,"https://www.google.com/search?ibp=oshop&q=Micron+MTC20F1045S1RC56BD1+32GB+DDR5-5600+ECC&prds=localAnnotatedOfferId:1,productid:15709467808164329617,pvo:2,pvt:hg,rds:PC_6027158597472037202%7CPROD_PC_6027158597472037202&gl=us&udm=28&pvorigin=2","32GB RAM Replacement for Micron MTC20F1045S1RC56BD1, MTC20F1045S1RC56BD2, MTC20F1045S1RC56BG1 | DDR5 5600MHz PC5-44800 ECC RDIMM 1Rx4 (EC8) Server",2026-09-05T14:00:55.209498+00:00,,,"{""serper_product_id"": ""15709467808164329617""}",,0,1,1194.0,,,newegg.com,,,,,[],
ebay_search,https://www.ebay.com/itm/127901914677?_skw=Micron+MTC20F1045S1RC56BD1+32GB+DDR5-5600+ECC&hash=item1dc78c5635:g:ZnwAAeSw2-NqIFIt,Micron 32GB DDR5 5600MHz ECC 1Rx4 RDIMM REG Server RAM - MTC20F1045S1RC56BD1,2026-09-05T14:00:57.403946+00:00,,,{},refurbished,0,1,999.94,,,hs_tech,99.8,17988,US,,[],
ebay_search,https://www.ebay.com/itm/227312572907?_skw=Micron+MTC20F1045S1RC56BD1+32GB+DDR5-5600+ECC&hash=item34ece299eb:g:2M0AAeSwx-9p6SZu&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGavieRsLkMhf3P94ogG%2Bna2tBMJMogJnF7Y8zRiJhq%2BM9a217AdtKd3%2BDWX7I%2BR8luhbvutO833d%2BWDh3q%2F6YHNwQ%2FtriWKhy1BmuIQitajkMQloBhjkequG2gwyz7DoH7hgvhNNpaQuQuQpsqOea25Sgjz2I9BezwVJKkAzO%2BH1x%2B%2Bwfet28GLwTQ4ECePdP8ZabmUBbOdwDcNcfgM7IuZRMkP81624wQj6bzsJnsfDhUOX%2FH2QrL3g0oX9VWvLfyQxfWgwx%2BMpBjWKFnKJ4HxldHGXRFvU9SodwyO7XFg9RRo96b1sHj2MNh9w3zfYfKAKhEFvT%2FAv4U3pAvLmId3,Micron 32GB DDR5-5600 PC5-44800 EC8 RDIMM Server Memory RAM MTC20F1045S1RC56BD1,2026-09-05T14:00:57.403967+00:00,,,{},used,0,1,1164.0,,,atechcomponents,99.7,133389,US,,[],
ebay_search,https://www.ebay.com/itm/176879088754?_skw=Micron+MTC20F1045S1RC56BD1+32GB+DDR5-5600+ECC&hash=item292ed0b472:g:A9sAAOSw0VRnwCup&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGZ5IKfvnyWf8D6qrNEohWHilngyQxHNYCXfa4fdcerVWQ1wosRi%2BkCscSf5UxUWoVN4PRkRTtz8Ss%2BHhaqOFbqmoIAzB%2BwnB2sh1ZjUjou0BzWmModKzhQrh3gxUDz6%2F2b2ZqOQumtum8JOK4p25sWjORw3t27CR9GJehNBgGYG1L5G%2FKl1%2FWe8j8b5y%2FBVjjcdCeXQCZqrpBUnbXj%2FggexS0qIu%2BHJOkCWuI5YptW8Goc8ptkuaPgspcROPIsBh9ujKaRmPNdxR7XxHxbz%2F0z4cfleG3ZBT0nvt0zC64MfD1bytt1pJdq9TslZyIbrRq%2FxyvrwjrbmwMctIgRk8MmG,MTC20F1045S1RC56BD1 MICRON 32GB (1x32GB) 1Rx4 PC5-5600B MEMORY,2026-09-05T14:00:57.403977+00:00,,,{},used,0,1,1499.0,,,cloud_storage_corp,99.9,26060,US,,[],
ebay_search,https://www.ebay.com/itm/327101326001?_skw=Micron+MTC20F1045S1RC56BD1+32GB+DDR5-5600+ECC&hash=item4c28c222b1:g:wCsAAeSwxApp3V-W&amdata=enc%3AAQALAAABEACCtXRWQnOEpyOqnQQ8KGY65AnMuEL2Urkv7tAPL6s5CQIM5ghyAprBO5tHgTNZGL0xv2YXs53mk73fv%2FMl47ot7qog3PqRuOu0hhhh5V7nGuvdOOYs5p6O9xEBDU8uD6UG%2FD20vjuD0iD6Jt8L%2Bysi4WSJya%2F7mccAbznQvSMC0RSwXjgthI%2BSvrymozo6r5lqjdYu3TJr3ehd7ZoYsPV77bnI2gpkfTVPgo%2FKW7m5%2FUKc3tW8PfmSLOAzmkpDN%2BeoM3bjIH7dgAD8V5RSlQJOUtmhbfO5%2FHABpxDSdimfOl6rTOAHa5JcwwrhcSBVildhJgzWJVKydre%2FENx0D3hU6%2BhgNFwdr3Hlu3agMgGq,32GB DDR5 PC5-44800R RDIMM Replacement for Micron MTC20F1045S1RC56BD1 Memory RAM,2026-09-05T14:00:57.403983+00:00,,,{},new,0,1,1194.0,,,atechcomponents,99.7,133389,US,,[],
amazon_dataforseo,https://www.amazon.com/NEMIX-RAM-Registered-Compatible-MTC20F1045S1RC56BD1/dp/B0DPXS99FS/ref=sr_1_7?crid=MF508CMTMJ8S&dib=eyJ2IjoiMSJ9.Ugdytk6Q9FaewbA8n_eO0JuOnpvFCI2DUonqZgmm05mZnVGZmywDc3GxbG2ZS-S_61KP932OZD9FDSshFPIekZ1SbKmmkRw4cH9vKeKrJwbREm7Jl1ZqBZyBup6YbPo0.O7qio5QvcevcBREoPRSJrRYCqiaWap2n2mZnkY4dBo0&dib_tag=se&keywords=Micron+MTC20F1045S1RC56BD1+32GB+DDR5-5600+ECC&qid=1788616899&sprefix=Micron%2BMTC20F1045S1RC56BD1%2B32GB%2BDDR55600%2BECC%2Caps%2C163&sr=8-7,32GB (1X32GB) DDR5 5600MHZ PC5-44800 4Rx4 1.1V CL46 288-PIN ECC RDIMM Registered Server Memory Compatible with Micron MTC20F1045S1RC56BD1,2026-09-05T14:01:51.813055+00:00,,,"{""asin"": ""B0DPXS99FS""}",,0,1,0.0,,,Amazon,,,,,[],
