source,url,title,fetched_at,brand,mpn,attrs,condition,is_kit,kit_module_count,unit_price_usd,kit_price_usd,quantity_available,seller_name,seller_rating_pct,seller_feedback_count,ship_from_country,qvl_status,flags,total_for_target_usd
ebay_search,https://www.ebay.com/itm/236772050573?_skw=the+netanyahus+joshua+cohen&hash=item3720b6c68d:g:3SkAAeSwqhpplhEU&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGakK70mAh%2FsG1Px1bnRq6zQG4g9m%2FpSQVAGm%2FEwCFNP836L9gKCMBLZhbUEUW1CKJ4U5U7izK1jE%2BfCMunDgKAdyLZZGtbP35eDvJL59JOHX2H3QPpjicK4R4NhJ%2Bmyu4%2BUuOWeiUHADYQwWbWappbWKga34dn7qUUXzV%2F50mlsyBjQTcEsxc7EnaAoJAJR56DC0Vj8kz3VYN914a34Ty9oBQCyiFkanaiya7jmu1xw2fAkz5RPTjYKYQiL2FrhC4CxXbamecgJ6SmBqkt6zYhFCvcp3O2FJTEIJk39yrZG0EGGoK7JKr%2FThFIi8pRAdOw%3D,"The Netanyahus (Pulitzer) Joshua Cohen, 2021 2nd printing",2026-05-12T01:08:23.639625+00:00,,,{},used,0,1,19.0,,,bestbooks4less,100.0,895,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/317936927969?_skw=the+netanyahus+joshua+cohen&hash=item4a068484e1:g:ZQgAAeSwY3Zpo3A9&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGYTSzk%2BeOjqNs%2BOsKxyFaO3xwiASGywqBtqT9yoOsy4KaSs68e6gZjc4zkSPghcWTi%2By22KALCjSMfD9qsBkiimKD9zG3uiw9GqbZQYhyijXouZPx9DXKvKnt1SxHXzYJAIfLzgozfEgRgykU4YT5MkDzXl5SATyTsGK62XEkvZdvAyUPtwKawKGcJLwxRYC%2BfyxohmCJQsF0ruG3o%2BK08xOK85mvWwznz98%2FdzR61CdI8ZaXc1oss3pVQtgeSGjif%2BPhdmRa3jDGrnmaG77tuzCGSCur4nxADME4Ic9%2B556CuhIXnA34vG1s461L9g2sE%3D,Joshua Cohen The Netanyahus Paperback New York Review Books Historical Novel,2026-05-12T01:08:23.639645+00:00,,,{},new,0,1,20.0,,,feral_books,100.0,26,US,unknown,"[""low_feedback"", ""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/196447657922?_skw=the+netanyahus+joshua+cohen&hash=item2dbd315fc2:g:RG4AAOSwg2xhXspd&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGamr2e01XNjcMM2cJrjHI8g3F7fyymR2RAOqbP6n5zESEVwujw99fzSZJHkKCa8c2UhzDrdWQXuHg01zUycXthSZneOztmyywgMWBaWeGo46eS824mh%2FZhwIsdi7fzr%2FmiRxpnCy%2Fgv75bZVn1qQRCWW5nP9tSG4YwHwyUJTbShFqGIwW2urX6401%2Bwlso4lfGYwHfwogo%2FjvfYZsO9Lii4pCsUO8yAGCMp3RzoREporJPQo19Hc1XpiIRcrXQUjHMii3GTyQ8pLdZMPB%2BFQJ9NKCVfhAZ%2FW5XAXOv0Y%2BfHxpYKiGjG%2FEvsktZRIhpRD6w%3D,The Netanyahus: An Account of a Minor and Ultimately Even Negligible Episode...,2026-05-12T01:08:23.639661+00:00,,,{},used,0,1,5.76,,,thrift.books,99.6,4571274,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/388567545168?_skw=the+netanyahus+joshua+cohen&hash=item5a786e3550:g:20gAAOSw71JoSiPH,The Netanyahus Paperback Joshua Cohen B51,2026-05-12T01:08:23.639674+00:00,,,{},used,0,1,8.99,,,kimbovintagegoods,100.0,11600,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/227062339580?_skw=the+netanyahus+joshua+cohen&hash=item34ddf857fc:g:eMUAAeSwNxZpDM0Q,The Netanyahus by Joshua Cohen First Edition/1st Printing  Pulitzer Winner,2026-05-12T01:08:23.639689+00:00,,,{},used,0,1,89.0,,,mittenmart269,100.0,1020,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/358196081196?_skw=the+netanyahus+joshua+cohen&hash=item536626722c:g:jKYAAeSwFPZphoee,"The Netanyahus by Joshua Cohen (Paperback, 2021)",2026-05-12T01:08:23.639701+00:00,,,{},used,0,1,5.0,,,allmythologies,100.0,34,US,unknown,"[""low_feedback"", ""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/177231636388?_skw=the+netanyahus+joshua+cohen&hash=item2943d427a4:g:NjMAAeSwJfloYY1B,The Netanyahus by Joshua Cohen NYRB PB 2021 First Edition Pulitzer Winner,2026-05-12T01:08:23.639716+00:00,,,{},used,0,1,120.0,,,j3c1e,99.5,2310,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/376825586382?_skw=the+netanyahus+joshua+cohen&hash=item57bc8e22ce:g:Rb8AAeSwuOhpVpbl,The Netanyahus by Joshua Cohen (2021) Second Printing Pulitzer Prize Novel,2026-05-12T01:08:23.639731+00:00,,,{},used,0,1,25.0,,,pumpkinjosh,100.0,28953,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/256299179020?_skw=the+netanyahus+joshua+cohen&hash=item3bac9f1c0c:g:JrkAAOSwqgBlVOGt,The Netanyahus Joshua Cohen Paperback 2nd print,2026-05-12T01:08:23.639742+00:00,,,{},used,0,1,14.99,,,tno1,99.9,6211,US,unknown,"[""unknown_quantity""]",
ebay_search,https://www.ebay.com/itm/235456701467?_skw=the+netanyahus+joshua+cohen&hash=item36d250241b:g:zG4AAOSwaMdlwR0n,Signed The Netanyahus by Joshua Cohen (2021 softcover) Pulitzer Prize Winner,2026-05-12T01:08:23.639756+00:00,,,{},used,0,1,79.99,,,gmh357,100.0,3763,US,unknown,"[""unknown_quantity""]",
